OBJECT,Catalogue,Survey,off_u_gaia_0p7,off_u_gaia_1p0,dmag_u_0p7,dmag_u_1p0,off_u_0p7,off_u_1p0
KIDS_42.8_-33.1,KIDS_42p8_m33p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.025103313742044442,0.02536231374204445,0.1727404630863044,0.160829816027417,0.14763714934425995,0.13546750228537255
KIDS_201.6_-2.5,KIDS_201p6_m2p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.06981339807988393,0.07068739807988392,0.1608914548065095,0.1661659798250654,0.09107805672662556,0.09547858174518148
KIDS_339.0_-31.2,KIDS_339p0_m31p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.08817725391910242,0.09045025391910241,0.0957384771746774,0.1108060286839243,0.007561223255574984,0.020355774764821893
KIDS_47.8_-31.2,KIDS_47p8_m31p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,0.012386918668025187,0.012386918668025187,0.1779148086020281,0.1911605479730979,0.16552788993400291,0.1787736293050727
KIDS_356.6_-27.2,KIDS_356p6_m27p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.07770816518962628,-0.07766916518962627,-0.0046438752544869,0.0193732789921062,0.07306428993513939,0.09704244418173247
KIDS_52.4_-29.2,KIDS_52p4_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.022238368108974713,-0.021548368108974703,0.156379375719679,0.1589135935145102,0.1786177438286537,0.1804619616234849
KIDS_22.6_-28.2,KIDS_22p6_m28p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.09836724445053499,-0.09833624445053499,0.0957484915090099,0.1076308602069303,0.1941157359595449,0.2059671046574653
KIDS_32.1_-33.1,KIDS_32p1_m33p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.031890691154355416,-0.031575691154355434,0.0360593107300759,0.0481615772952389,0.06795000188443132,0.07973726844959433
KIDS_1.1_-29.2,KIDS_1p1_m29p2_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.028687399608411907,-0.028240399608411904,0.0837647913635649,0.0712794753502242,0.11245219097197681,0.09951987495863611
KIDS_7.3_-35.1,KIDS_7p3_m35p1_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.11098996416851262,-0.11098996416851262,-0.0012576130195936,0.0038472543716765,0.10973235114891902,0.11483721854018912
KIDS_207.0_-0.5,KIDS_207p0_m0p5_r_SDSS.V1.3.0A_KiDS-1347_GAaP_Gaia.fits,KiDS,-0.016017488785998166,-0.016017488785998166,0.0662516763563242,0.0639718737637477,0.08226916514232237,0.07998936254974587
